"id","nom","superficie","population","region_id"
"1","Lomé","90","2133579","5"
"2","Sokodé",NULL,NULL,"3"
"3","Kara","11630",NULL,"2"
"4","Kpalimé",NULL,NULL,"4"
"5","Atakpamé",NULL,NULL,"4"
"6","Bassar",NULL,NULL,"2"
"7","Tsévié",NULL,NULL,"5"
"8","Aného",NULL,NULL,"5"
"9","Mango",NULL,NULL,"1"
"10","Dapaong",NULL,NULL,"1"
"11","Tchamba",NULL,NULL,"3"
"12","Niamtougou",NULL,NULL,"2"
"13","Bafilo",NULL,NULL,"2"
"14","Notsé",NULL,NULL,"4"
"15","Sotouboua",NULL,NULL,"3"
"16","Vogan",NULL,NULL,"5"
"17","Badou",NULL,NULL,"4"
"18","Biankouri",NULL,NULL,"1"
"19","Tabligbo",NULL,NULL,"5"
"20","Kanté",NULL,NULL,"2"
"21","Amlamé",NULL,NULL,"4"
"22","Galangachi",NULL,NULL,"1"
"23","Kpagouda",NULL,NULL,"2"
